Ordner                                                                                                                                                                                              |         MB |        Bytes
flutter\exercises\bibliothek_dashboard\build\windows\x64\runner\Debug\data\flutter_assets\packages                                                                                                  |       0.25 |      257,628
flutter\exercises\bibliothek_dashboard\build\windows\x64\runner\Debug\data\flutter_assets\packages\cupertino_icons                                                                                  |       0.25 |      257,628
flutter\exercises\bibliothek_dashboard\build\windows\x64\runner\Debug\data\flutter_assets\packages\cupertino_icons\assets                                                                           |       0.25 |      257,628
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug                                                                                                                    |       0.23 |      244,318
flutter\exercises\bibliothek_dashboard\build\app\intermediates\incremental\debug\mergeDebugResources                                                                                                |       0.23 |      236,877
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\arm64-v8a                                                                                                                          |       0.23 |      236,113
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\x86_64                                                                                                                             |       0.22 |      232,703
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\armeabi-v7a                                                                                                                        |       0.22 |      231,473
flutter\exercises\bibliothek_dashboard\macos                                                                                                                                                        |       0.22 |      225,629
flutter\exercises\bibliothek_dashboard\build\windows\x64\CMakeFiles                                                                                                                                 |       0.19 |      196,056
flutter\exercises\bibliothek_dashboard\build\windows\x64\flutter\flutter_wrapper_app.dir\Debug\flutter_.F76CAF68.tlog                                                                               |       0.18 |      193,791
flutter\exercises\bibliothek_dashboard\macos\Runner                                                                                                                                                 |       0.18 |      192,277
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_res_blame_folder                                                                                                              |       0.16 |      165,368
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_res_blame_folder\debug                                                                                                        |       0.16 |      165,368
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_res_blame_folder\debug\mergeDebugResources                                                                                    |       0.16 |      165,368
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_res_blame_folder\debug\mergeDebugResources\out                                                                                |       0.16 |      165,368
flutter\exercises\bibliothek_dashboard\android\.gradle\8.14\fileHashes                                                                                                                              |       0.16 |      164,717
flutter\exercises\bibliothek_dashboard\macos\Runner\Assets.xcassets                                                                                                                                 |       0.16 |      164,385
flutter\exercises\bibliothek_dashboard\macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                                                              |       0.16 |      164,385
flutter\exercises\bibliothek_dashboard\build\app\intermediates\merged_res_blame_folder\debug\mergeDebugResources\out\multi-v2                                                                       |       0.16 |      164,092
flutter\exercises\bibliothek_dashboard\windows\flutter\ephemeral\cpp_client_wrapper                                                                                                                 |       0.13 |      140,237
flutter\exercises\bibliothek_dashboard\build\.cxx\debug\2k2b5h51\arm64-v8a\CMakeFiles                                                                                                               |       0.13 |      131,796
flutter\exercises\bibliothek_dashboard\build\reports                                                                                                                                                |       0.12 |      129,831
flutter\exercises\bibliothek_dashboard\build\reports\problems                                                                                                                                       |       0.12 |      129,831
